"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.238,0.174,1002,1.368,0.172
"redData$age_y",0.022,0.014,1002,1.602,0.11
"redData$feed_group2",-0.008,0.012,1002,-0.685,0.493
"redData$feed_groupNULL",-0.007,0.016,1002,-0.409,0.683
"redData$genetic_groupS",-0.01,0.011,1002,-0.896,0.371
"as.factor(redData$birth_year)2009",-0.014,0.021,1002,-0.694,0.488
"as.factor(redData$birth_year)2010",-0.012,0.029,1002,-0.431,0.666
"as.factor(redData$birth_year)2011",-0.006,0.039,1002,-0.164,0.87
"as.factor(redData$birth_year)2012",-0.022,0.055,1002,-0.396,0.692
"as.factor(redData$birth_year)2013",-0.147,0.111,1002,-1.316,0.189
"as.factor(redData$birth_year)2014",-0.242,0.193,1002,-1.255,0.21
"as.factor(redData$sample_year)2010",-0.364,0.175,1002,-2.082,0.038
"as.factor(redData$sample_year)2011",-0.322,0.176,1002,-1.829,0.068
"as.factor(redData$sample_year)2012",-0.301,0.178,1002,-1.686,0.092
"as.factor(redData$sample_year)2013",-0.277,0.182,1002,-1.517,0.129
"as.factor(redData$sample_year)2014",-0.3,0.189,1002,-1.592,0.112
"as.numeric(paste(redData$sample_interval))",0,0,1002,-0.049,0.961
"redData$health_event_2week",0.018,0.024,1002,0.721,0.471
